TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.40.1450	-	0.0852989947286174	-2.46159260968153	2	1	0.00273224043715847	366	8395	19664	Rbpj
4.10.770.10	-	0.0852989947286174	-2.46159260968153	2	1	0.00273224043715847	366	8395	12393	Runx2
1.25.10.20	-	0.0852989947286174	-2.46159260968153	2	1	0.00273224043715847	366	8395	238055	Apob
2.30.230.10	-	0.0852989947286174	-2.46159260968153	2	1	0.00273224043715847	366	8395	238055	Apob
3.10.25.10	-	0.0852989947286174	-2.46159260968153	2	1	0.00273224043715847	366	8395	107747	Aldh1l1
1.10.1040.30	-	0.0852989947286174	-2.46159260968153	2	1	0.00273224043715847	366	8395	93761	Smarca1
2.10.90.10	-	0.0930915293801001	-2.37417208294046	72	6	0.0163934426229508	366	8395	17965,78405,110075,12162,12164,12156	Nbl1,Ntf5,Bmp3,Bmp7,Bmp8b,Bmp2
2.60.34.10	-	0.0937687559793711	-2.36692357036175	12	2	0.00546448087431694	366	8395	193740,15511	Hspa1a,Hspa1b
1.10.220.10	-	0.0937687559793711	-2.36692357036175	12	2	0.00546448087431694	366	8395	11744,71790	Anxa11,Anxa9
1.10.840.10	-	0.102058316000784	-2.28221090357274	26	3	0.00819672131147541	366	8395	241308,29815,19417	Ralgps1,Bcar3,Rasgrf1
1.25.40.20	-	0.108291836043683	-2.2229255106081	223	14	0.0382513661202186	366	8395	213121,320429,16470,18131,26431,66725,11733,271144,244281,52024,71452,58234,73845,233328	Ankrd35,Trank1,Ush1g,Notch3,Git2,Lrrk2,Ank1,Ankdd1b,Myo16,Ankrd22,Ankrd40,Shank3,Ankrd42,Lrrk1
1.20.1730.10	-	0.122204342984535	-2.10206069290453	14	2	0.00546448087431694	366	8395	114479,216225	Slc5a5,Slc5a8
1.20.142.10	-	0.125187064300514	-2.07794614593748	3	1	0.00273224043715847	366	8395	235587	Parp3
1.10.150.240	-	0.125187064300514	-2.07794614593748	3	1	0.00273224043715847	366	8395	13850	Ephx2
2.20.140.10	-	0.125187064300514	-2.07794614593748	3	1	0.00273224043715847	366	8395	235587	Parp3
1.10.1520.10	-	0.125187064300514	-2.07794614593748	3	1	0.00273224043715847	366	8395	69163	Mrpl44
1.20.120.310	-	0.125187064300514	-2.07794614593748	3	1	0.00273224043715847	366	8395	11692	Gfer
2.170.150.30	-	0.125187064300514	-2.07794614593748	3	1	0.00273224043715847	366	8395	71586	Ifih1
3.10.120.10	-	0.137111822027315	-1.98695846690225	15	2	0.00546448087431694	366	8395	211389,338521	Suox,Fa2h
1.10.1000.11	-	0.137111822027315	-1.98695846690225	15	2	0.00546448087431694	366	8395	72318,19159	Cyth4,Cyth3
1.20.120.790	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	22027	Hsp90b1
1.10.10.1610	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	21678	Tead3
2.30.180.10	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	192187	Stab1
4.10.10.10	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	17751	Mt3
3.30.1120.30	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	20620	Plk2
3.40.1000.10	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	57785	Rangrf
1.10.1200.10	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	107747	Aldh1l1
2.60.40.840	-	0.1633402500062	-1.81191983046545	4	1	0.00273224043715847	366	8395	216869	Arrb2
2.60.120.40	-	0.163980968891253	-1.80800490123751	49	4	0.0109289617486339	366	8395	21950,21926,246707,326623	Tnfsf9,Tnf,Emilin2,Tnfsf15
4.10.800.10	-	0.167979441117193	-1.78391368136965	17	2	0.00546448087431694	366	8395	18073,94214	Nid1,Spock2
1.10.30.10	-	0.181271879307998	-1.7077572791092	51	4	0.0109289617486339	366	8395	20679,70508,252838,20682	Sox6,Bbx,Tox,Sox9
1.10.287.110	-	0.181271879307998	-1.7077572791092	51	4	0.0109289617486339	366	8395	66449,81489,70604,75015	Pam16,Dnajb1,Dnajb14,4930503B20Rik
3.10.200.10	-	0.183823231989721	-1.69378067884508	18	2	0.00546448087431694	366	8395	72605,56078	Car10,Car5b
3.30.505.10	-	0.19745886646915	-1.62222498737466	109	7	0.0191256830601093	366	8395	22165,50915,14783,16923,435684,29815,18709	Txk,Grb14,Grb10,Sh2b3,Shf,Bcar3,Pik3r2
3.30.900.10	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	71890	Mad2l2
3.90.740.10	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	68915	Vars2
2.40.160.10	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	22333	Vdac1
1.20.930.40	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	50765	Tfr2
1.10.245.10	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	83797	Smarcd1
2.30.130.10	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	66405	Mcts2
1.25.40.1020	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	22350	Ezr
3.40.50.11660	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	14348	Fut9
2.10.250.10	-	0.199833810786734	-1.61026920392748	5	1	0.00273224043715847	366	8395	12330	Canx
1.20.1440.80	-	0.216072290026444	-1.53214225124115	20	2	0.00546448087431694	366	8395	14615,14609	Gjc1,Gja1
2.130.10.30	-	0.216072290026444	-1.53214225124115	20	2	0.00546448087431694	366	8395	71176,140859	Fbxo24,Nek8
2.120.10.30	-	0.217468478640245	-1.52570136474813	37	3	0.00819672131147541	366	8395	18073,16971,23966	Nid1,Lrp1,Tenm4
3.40.50.620	-	0.229080451768661	-1.47368201935846	38	3	0.00819672131147541	366	8395	68915,23972,236899	Vars2,Papss2,Pcyt1b
3.30.70.1230	-	0.232386009538783	-1.45935545573565	21	2	0.00546448087431694	366	8395	73707,11513	Gucy2g,Adcy7
1.20.5.520	-	0.234739749432925	-1.44927782773458	6	1	0.00273224043715847	366	8395	19241	Tmsb4x
1.20.990.10	-	0.234739749432925	-1.44927782773458	6	1	0.00273224043715847	366	8395	18984	Por
2.140.10.30	-	0.234739749432925	-1.44927782773458	6	1	0.00273224043715847	366	8395	13482	Dpp4
2.170.130.20	-	0.234739749432925	-1.44927782773458	6	1	0.00273224043715847	366	8395	12810	Coch
3.30.40.160	-	0.265189674898554	-1.32730995469172	23	2	0.00546448087431694	366	8395	231821,26431	Adap1,Git2
3.30.530.20	-	0.265189674898554	-1.32730995469172	23	2	0.00546448087431694	366	8395	50768,170460	Dlc1,Stard5
3.60.110.10	-	0.268126953121824	-1.31629470495595	7	1	0.00273224043715847	366	8395	52633	Nit2
3.30.390.30	-	0.268126953121824	-1.31629470495595	7	1	0.00273224043715847	366	8395	14782	Gsr
2.60.490.10	-	0.268126953121824	-1.31629470495595	7	1	0.00273224043715847	366	8395	231602	P2rx2
3.30.810.10	-	0.268126953121824	-1.31629470495595	7	1	0.00273224043715847	366	8395	18720	Pip5k1a
1.10.287.370	-	0.268126953121824	-1.31629470495595	7	1	0.00273224043715847	366	8395	19777	Uri1
3.60.10.10	-	0.281608513664814	-1.26723742197056	24	2	0.00546448087431694	366	8395	170835,212111	Inpp5j,Inpp5a
2.60.120.260	-	0.286473985770296	-1.2501075470536	82	5	0.0136612021857923	366	8395	13836,233040,233038,230904,50760	Epha2,Fbxo27,Nccrp1,Fbxo2,Fbxo17
2.40.128.20	-	0.294655094068096	-1.22194977930839	63	4	0.0109289617486339	366	8395	11770,16819,19215,12904	Fabp4,Lcn2,Ptgds,Crabp2
3.10.130.10	-	0.297996225941725	-1.21067445718201	25	2	0.00546448087431694	366	8395	58809,11727	Rnase4,Ang
3.30.800.10	-	0.300061327843327	-1.20376839907369	8	1	0.00273224043715847	366	8395	18720	Pip5k1a
3.30.70.340	-	0.300061327843327	-1.20376839907369	8	1	0.00273224043715847	366	8395	71791	Cpa4
2.60.40.790	-	0.314324385109445	-1.15732975273023	26	2	0.00546448087431694	366	8395	80888,69253	Hspb8,Hspb2
1.10.10.10	-	0.32523896309963	-1.12319509575596	213	11	0.0300546448087432	366	8395	19725,18511,15218,97998,15228,67773,16391,15375,16469,104156,211896	Rfx2,Pax9,Foxn1,Deptor,Foxg1,Kat8,Irf9,Foxa1,Jrk,Etv5,Depdc7
3.30.950.30	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	276950	Slfn8
3.30.428.10	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	69305	Dcps
1.10.1540.10	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	18201	Nsmaf
3.40.50.360	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	18984	Por
3.10.20.230	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	195208	Dcdc2a
2.60.40.2030	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	242022	Frem2
1.10.640.10	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	19225	Ptgs2
3.90.290.10	-	0.330605927096777	-1.10682816545351	9	1	0.00273224043715847	366	8395	16997	Ltbp2
2.60.40.340	-	0.359821075047235	-1.02214838484194	10	1	0.00273224043715847	366	8395	54446	Nfat5
3.30.720.50	-	0.359821075047235	-1.02214838484194	10	1	0.00273224043715847	366	8395	547253	Parp14
3.90.810.10	-	0.359821075047235	-1.02214838484194	10	1	0.00273224043715847	366	8395	18479	Pak1
3.40.930.10	-	0.359821075047235	-1.02214838484194	10	1	0.00273224043715847	366	8395	54403	Slc4a4
3.60.21.10	-	0.362704166871301	-1.01416774428036	29	2	0.00546448087431694	366	8395	23959,11433	Nt5e,Acp5
3.30.500.10	-	0.373042579595098	-0.98606271144299	50	3	0.00819672131147541	366	8395	19368,667281,379043	Raet1a,H60b,Raet1e
1.20.80.10	-	0.373042579595098	-0.98606271144299	50	3	0.00819672131147541	366	8395	22350,228564,67131	Ezr,Frmd5,Acbd4
3.30.1520.10	-	0.373042579595098	-0.98606271144299	50	3	0.00819672131147541	366	8395	66616,14218,18806	Snx9,Sh3pxd2a,Pld2
3.40.50.410	-	0.373282191354179	-0.985420600188906	92	5	0.0136612021857923	366	8395	14962,246228,16416,23844,12810	Cfb,Vwa1,Itgb3,Clca1,Coch
2.60.120.290	-	0.385028248365807	-0.954438575007255	51	3	0.00819672131147541	366	8395	226255,84035,18542	Atrnl1,Kremen1,Pcolce
3.40.50.200	-	0.387764484288495	-0.947357122913951	11	1	0.00273224043715847	366	8395	12751	Tpp1
3.40.50.11210	-	0.387764484288495	-0.947357122913951	11	1	0.00273224043715847	366	8395	20469	Sipa1
1.20.1270.60	-	0.394626291813558	-0.929816058587494	73	4	0.0109289617486339	366	8395	66616,71544,117600,71302	Snx9,Arhgap42,Srgap1,Arhgap26
2.40.50.90	-	0.414491368681422	-0.880703128070108	12	1	0.00273224043715847	366	8395	30054	Rnf17
1.20.1080.10	-	0.414491368681422	-0.880703128070108	12	1	0.00273224043715847	366	8395	11826	Aqp1
3.10.110.10	-	0.432347000257	-0.838526771828055	55	3	0.00819672131147541	366	8395	67921,66568,109161	Ube2f,Rwdd3,Ube2q2
2.60.40.640	-	0.440054551206703	-0.820856579739483	13	1	0.00273224043715847	366	8395	216869	Arrb2
3.40.33.10	-	0.464504567223632	-0.766783888217634	14	1	0.00273224043715847	366	8395	11571	Crisp1
1.10.540.10	-	0.464504567223632	-0.766783888217634	14	1	0.00273224043715847	366	8395	56357	Ivd
3.60.40.10	-	0.464504567223632	-0.766783888217634	14	1	0.00273224043715847	366	8395	242083	Ppm1l
4.10.70.10	-	0.484097246130395	-0.725469470690563	37	2	0.00546448087431694	366	8395	11502,13522	Adam9,Adam28
3.40.1110.10	-	0.484097246130395	-0.725469470690563	37	2	0.00546448087431694	366	8395	11980,50771	Atp8a1,Atp9b
2.60.200.10	-	0.4878897633081	-0.717665793507529	15	1	0.00273224043715847	366	8395	16391	Irf9
2.40.20.10	-	0.4878897633081	-0.717665793507529	15	1	0.00273224043715847	366	8395	84035	Kremen1
1.10.1070.11	-	0.4878897633081	-0.717665793507529	15	1	0.00273224043715847	366	8395	225326	Pik3c3
2.60.40.1400	-	0.4878897633081	-0.717665793507529	15	1	0.00273224043715847	366	8395	16514	Kcnj11
2.60.120.10	-	0.525842371028159	-0.642753786007318	40	2	0.00546448087431694	366	8395	330953,76089	Hcn4,Rapgef2
2.40.70.10	-	0.531648701203196	-0.631772343842609	17	1	0.00273224043715847	366	8395	13034	Ctse
3.40.50.10330	-	0.531648701203196	-0.631772343842609	17	1	0.00273224043715847	366	8395	20698	Sphk1
2.60.40.820	-	0.531648701203196	-0.631772343842609	17	1	0.00273224043715847	366	8395	13813	Eomes
1.10.196.10	-	0.552109022926599	-0.594009746904836	18	1	0.00273224043715847	366	8395	19735	Rgs2
1.50.10.10	-	0.552109022926599	-0.594009746904836	18	1	0.00273224043715847	366	8395	19703	Renbp
3.40.640.10	-	0.552380186088985	-0.593518726864766	42	2	0.00546448087431694	366	8395	14417,104174	Gad2,Gldc
2.60.40.1180	-	0.571677853961275	-0.55917963863013	19	1	0.00273224043715847	366	8395	232714	Mgam
2.130.10.130	-	0.571677853961275	-0.55917963863013	19	1	0.00273224043715847	366	8395	16404	Itga7
3.40.50.1000	-	0.574585159095097	-0.554106961007368	68	3	0.00819672131147541	366	8395	50771,13850,11980	Atp9b,Ephx2,Atp8a1
4.10.410.10	-	0.590393936278025	-0.526965276280418	20	1	0.00273224043715847	366	8395	21788	Tfpi
3.90.1480.20	-	0.590393936278025	-0.526965276280418	20	1	0.00273224043715847	366	8395	54613	St3gal6
3.20.20.70	-	0.602253577782317	-0.507076696811873	46	2	0.00546448087431694	366	8395	18563,14420	Pcx,Galc
1.10.1300.10	-	0.608294332616387	-0.497096414456421	21	1	0.00273224043715847	366	8395	18584	Pde8a
